(-2.91, -6.42)  -  737
(-11.67, -4.05)  -  738
(-5.22, -0.92)  -  739
(-12.33, -0.67)  -  740
(-12.89, -7.22)  -  741
(-13.39, -2.62)  -  742
(-7.35, -10.59)  -  743
(-6.75, -12.05)  -  744
(-6.62, -0.77)  -  745
(-15.06, -8.30)  -  746
(-2.74, -6.76)  -  747
(-15.84, -1.87)  -  748
(-1.34, -12.37)  -  749
(-11.96, -14.37)  -  750
(-14.73, -11.77)  -  751
(-12.47, -10.04)  -  752
(-13.33, -10.72)  -  753
(-1.37, -5.66)  -  754
(-0.41, -1.89)  -  755
(-8.35, -15.81)  -  756
(-14.09, -1.73)  -  757
(-11.27, -8.47)  -  758
(-4.85, -12.02)  -  759
(-3.15, -9.42)  -  760
(0.73, -5.66)  -  761
(-4.15, -4.63)  -  762
(-7.01, -13.78)  -  763
(-1.84, -12.01)  -  764
(-3.29, -14.97)  -  765
(-5.07, -2.29)  -  766
(-12.53, -10.19)  -  767
(-5.62, -8.31)  -  768
(-14.75, -12.37)  -  769
(-2.84, -5.82)  -  770
(-4.50, -3.66)  -  771
(-10.05, -5.56)  -  772
(-13.68, -7.52)  -  773
(-2.78, -10.36)  -  774
(-3.17, -6.60)  -  775
(-11.34, -10.61)  -  776
(-4.78, -1.35)  -  777
(-7.78, -3.20)  -  778
(-15.47, -6.02)  -  779
(-11.70, -6.98)  -  780
(-15.56, -5.23)  -  781
(-0.23, -4.12)  -  782
(-7.90, -9.86)  -  783
(-11.47, -4.84)  -  784
(-11.00, -5.98)  -  785
(-14.18, -15.95)  -  786
(-9.25, -9.25)  -  787
(-1.70, -5.02)  -  788
(-9.50, -11.22)  -  789
(-12.28, -14.47)  -  790
(-14.93, -6.53)  -  791
(-11.52, -7.30)  -  792
(-10.70, -1.18)  -  793
(-8.22, -7.56)  -  794
(0.72, -11.18)  -  795
(-14.99, -9.95)  -  796
(-5.14, -7.23)  -  797
(-4.41, -0.47)  -  798
(-9.61, -0.26)  -  799
(-13.17, -14.94)  -  800
(-3.40, -5.79)  -  801
(-7.89, -1.11)  -  802
(-12.74, -14.59)  -  803
(-11.20, -0.12)  -  804
(-15.94, -2.53)  -  805
(-2.69, -2.59)  -  806
(-13.37, -13.02)  -  807
(-6.61, -0.54)  -  808
(-10.99, -14.52)  -  809
(-9.51, 1.90)  -  810
(-13.45, -8.12)  -  811
(-3.51, -4.07)  -  812
(-1.71, -1.75)  -  813
(-4.39, -4.65)  -  814
(-9.04, -3.91)  -  815
(-4.25, 0.28)  -  816
(-7.85, -11.55)  -  817
(-9.35, -0.14)  -  818
(0.11, -1.02)  -  819
(-6.55, -10.07)  -  820
(-7.94, -12.38)  -  821
(-5.84, -9.67)  -  822
(-13.99, -0.80)  -  823
(-4.71, -4.29)  -  824
(-12.81, -7.60)  -  825
(-7.10, -12.72)  -  826
(-14.69, -14.86)  -  827
(-11.23, -8.22)  -  828
(-4.56, -12.63)  -  829
(0.40, -0.55)  -  830
(-14.66, -12.43)  -  831
(-8.69, -11.76)  -  832
(-3.07, -0.09)  -  833
(-5.75, -3.96)  -  834
(-11.10, -0.75)  -  835
(-10.02, -0.68)  -  836
(-1.64, -3.90)  -  837
(-2.17, 0.45)  -  838
(-10.51, -11.70)  -  839
(-4.42, -3.68)  -  840
(-4.68, -12.34)  -  841
(-11.52, -3.96)  -  842
(-11.46, -1.88)  -  843
(-2.55, -1.78)  -  844
(-12.92, -8.35)  -  845
(-13.30, -8.07)  -  846
(-6.34, -0.14)  -  847
(-8.06, -4.26)  -  848
(-12.96, -11.61)  -  849
(-9.26, -1.37)  -  850
(-4.54, -2.78)  -  851
(-0.68, -3.14)  -  852
(-12.17, -7.72)  -  853
(0.36, -0.39)  -  854
(-3.02, -12.06)  -  855
(-1.91, -2.32)  -  856
(1.74, -9.74)  -  857
(-14.32, 0.73)  -  858
(-12.02, -12.68)  -  859
(-7.99, -9.88)  -  860
(-14.85, -14.11)  -  861
(-2.77, -0.76)  -  862
(-5.99, -4.57)  -  863
(-0.03, -10.49)  -  864
(-0.57, -12.27)  -  865
(-5.49, -2.15)  -  866
(-5.96, -7.85)  -  867
(-1.26, -13.15)  -  868
(-13.72, -3.79)  -  869
(-1.28, -4.03)  -  870
(-12.40, -12.63)  -  871
(-14.77, -2.75)  -  872
(-7.80, -11.87)  -  873
(-11.79, -11.95)  -  874
